city,sum,lat,lng
"Bellevue, Nebraska",1158,41.1543623,-95.9145568
"Bellflower, California",40,33.8816818,-118.1170117
"Bellingham, Washington",374,48.7519112,-122.4786854
"Bellmawr, New Jersey",50,39.8676134,-75.0946182
"Bellmore, New York",2,40.6687125,-73.5270709
"Bellport, New York",8,40.75704289999999,-72.9392727
"Belmont, California",60,37.5202145,-122.2758008
"Belton, Texas",16,31.0560132,-97.46445299999999
"Beltsville, Maryland",76,39.0348317,-76.9074739
"Benbrook, Texas",8,32.673188,-97.4605759
"Benicia, California",2,38.049365,-122.1585777
"Bennington, Nebraska",62,41.3647193,-96.1577968
"Bensalem, Pennsylvania",386,40.09944249999999,-74.9325683
"Bensenville, Illinois",2,41.9550296,-87.94006569999999
"Benton City, Washington",14,46.2631897,-119.487802
"Bentonville, Arkansas",6,36.3728538,-94.2088172
"Berea, Ohio",6,41.3661614,-81.8543026
"Bergenfield, New Jersey",6,40.9275987,-73.9973608
"Berkeley, California",80,37.8715926,-122.272747
"Berlin, Connecticut",16,41.621488,-72.7456519
"Berrien Springs, Michigan",20,41.9464342,-86.338905
"Bertram, Texas",8,30.7437957,-98.0555763
"Berwyn, Illinois",46,41.85058739999999,-87.7936685
"Berwyn Heights, Maryland",6,38.9939991,-76.9105292
"Bessemer, Alabama",6,33.4017766,-86.954437
"Bessemer City, North Carolina",4,35.2848579,-81.28397
"Bethel Heights, Arkansas",12,36.2142438,-94.12936979999999
"Bethel Park, Pennsylvania",6,40.3275697,-80.0394977
"Bethesda, Maryland",76,38.984652,-77.0947092
"Bethlehem, Georgia",124,33.9320556,-83.7137827
"Bettendorf, Iowa",8,41.5262641,-90.50725729999999
"Beverly, Massachusetts",16,42.5584283,-70.880049
"Beverly Hills, California",450,34.0736204,-118.4003563
"Bexley, Ohio",6,39.9689532,-82.93768039999999
"Biddeford, Maine",294,43.4925843,-70.45338439999999
"Big Lake, Minnesota",6,45.3331421,-93.7335062
"Bigfork, Montana",6,48.0632864,-114.0726134
"Billerica, Massachusetts",6,42.5584218,-71.2689461
"Billings, Montana",14,45.7832856,-108.5006904
"Binghamton, New York",668,42.09868669999999,-75.91797380000001
"Bird-In-Hand, Pennsylvania",8,40.0387098,-76.18217709999999
"Birdsboro, Pennsylvania",4,40.2645371,-75.8040852
"Birmingham, Alabama",64,33.5185892,-86.8103567
"Biscayne Park, Florida",8,25.8825951,-80.18060249999999
"Bismarck, North Dakota",410,46.8083268,-100.7837392
"Bixby, Oklahoma",70,35.9420431,-95.88332349999999
"Blacklick, Ohio",134,39.99505190000001,-82.8108366
"Blacksburg, Virginia",2,37.2295733,-80.4139393
"Blackstone, Massachusetts",2,42.0418415,-71.53678599999999
"Blackwood, New Jersey",14,39.8023363,-75.0640602
"Bladensburg, Maryland",32,38.9392779,-76.93386310000001
"Blaine, Minnesota",728,45.1607987,-93.23494889999999
"Blair, Nebraska",12,41.5446975,-96.1350702
"Blairsville, Georgia",2,34.8761989,-83.95824119999999
"Blandon, Pennsylvania",6,40.4413786,-75.8867317
"Blasdell, New York",8,42.797281,-78.8233661
"Bloomfield, Michigan",36,42.5793103,-83.2827093
"Bloomfield Hills, Michigan",226,42.583645,-83.24548829999999
"Bloomfield Township, Michigan",84,42.5793103,-83.2827093
"Bloomingdale, Illinois",40,41.9575285,-88.0809036
"Bloomington, California",768,34.07029,-117.3958797
"Bloomsburg, Pennsylvania",6,41.003698,-76.4549457
"Blue Ball, Pennsylvania",10,40.1183438,-76.0482087
"Blue Bell, Pennsylvania",6,40.1523309,-75.26628900000001
"Blue Island, Illinois",2,41.6572562,-87.68004859999999
"Blue Springs, Missouri",12,39.0169509,-94.2816148
"Bluffton, Indiana",20,40.7386579,-85.17163680000002
"Blytheville, Arkansas",2,35.9272953,-89.9189753
"Boalsburg, Pennsylvania",64,40.7756184,-77.7924992
"Boardman, Oregon",2,45.83985500000001,-119.7005834
"Boca Raton, Florida",110,26.3683064,-80.1289321
"Boerne, Texas",116,29.79466409999999,-98.7319703
"Bogart, Georgia",12,33.949281,-83.53460799999999
"Bogota, New Jersey",12,40.8762106,-74.0298621
"Boiling Springs, South Carolina",168,35.046508,-81.9817726
"Boise, Idaho",17918,43.6150186,-116.2023137
"Boise City, Idaho",8,43.6150186,-116.2023137
"Bolingbrook, Illinois",108,41.69864159999999,-88.0683955
"Bolivar, Missouri",12,37.6144838,-93.4104749
"Bolivia, North Carolina",6,34.0676715,-78.1483283
